sku,name,meta_title,url_key,description,short_description,color,size,status,price,weight,special_price,special_from_date,special_to_date
SYN-TEST-0000,Synthetic Test Product 0,Synthetic Test Product 0 | RustGento,synthetic-test-product-0,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 0.",Synthetic item 0 for import testing.,100,10,1,9.99,0.50,7.99,2026-01-01,2026-12-31
SYN-TEST-0001,Synthetic Test Product 1,Synthetic Test Product 1 | RustGento,synthetic-test-product-1,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 1.",Synthetic item 1 for import testing.,101,11,1,10.99,0.75,,,
SYN-TEST-0002,Synthetic Test Product 2,Synthetic Test Product 2 | RustGento,synthetic-test-product-2,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 2.",Synthetic item 2 for import testing.,102,12,1,11.99,1.00,9.99,2026-01-01,2026-12-31
SYN-TEST-0003,Synthetic Test Product 3,Synthetic Test Product 3 | RustGento,synthetic-test-product-3,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 3.",Synthetic item 3 for import testing.,103,10,1,12.99,1.25,,,
SYN-TEST-0004,Synthetic Test Product 4,Synthetic Test Product 4 | RustGento,synthetic-test-product-4,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 4.",Synthetic item 4 for import testing.,104,11,1,13.99,0.50,11.99,2026-01-01,2026-12-31
SYN-TEST-0005,Synthetic Test Product 5,Synthetic Test Product 5 | RustGento,synthetic-test-product-5,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 5.",Synthetic item 5 for import testing.,100,12,1,14.99,0.75,,,
SYN-TEST-0006,Synthetic Test Product 6,Synthetic Test Product 6 | RustGento,synthetic-test-product-6,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 6.",Synthetic item 6 for import testing.,101,10,1,15.99,1.00,13.99,2026-01-01,2026-12-31
SYN-TEST-0007,Synthetic Test Product 7,Synthetic Test Product 7 | RustGento,synthetic-test-product-7,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 7.",Synthetic item 7 for import testing.,102,11,1,16.99,1.25,,,
SYN-TEST-0008,Synthetic Test Product 8,Synthetic Test Product 8 | RustGento,synthetic-test-product-8,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 8.",Synthetic item 8 for import testing.,103,12,1,17.99,0.50,15.99,2026-01-01,2026-12-31
SYN-TEST-0009,Synthetic Test Product 9,Synthetic Test Product 9 | RustGento,synthetic-test-product-9,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 9.",Synthetic item 9 for import testing.,104,10,1,18.99,0.75,,,
SYN-TEST-0010,Synthetic Test Product 10,Synthetic Test Product 10 | RustGento,synthetic-test-product-10,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 10.",Synthetic item 10 for import testing.,100,11,1,19.99,1.00,17.99,2026-01-01,2026-12-31
SYN-TEST-0011,Synthetic Test Product 11,Synthetic Test Product 11 | RustGento,synthetic-test-product-11,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 11.",Synthetic item 11 for import testing.,101,12,1,20.99,1.25,,,
SYN-TEST-0012,Synthetic Test Product 12,Synthetic Test Product 12 | RustGento,synthetic-test-product-12,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 12.",Synthetic item 12 for import testing.,102,10,1,21.99,0.50,19.99,2026-01-01,2026-12-31
SYN-TEST-0013,Synthetic Test Product 13,Synthetic Test Product 13 | RustGento,synthetic-test-product-13,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 13.",Synthetic item 13 for import testing.,103,11,1,22.99,0.75,,,
SYN-TEST-0014,Synthetic Test Product 14,Synthetic Test Product 14 | RustGento,synthetic-test-product-14,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 14.",Synthetic item 14 for import testing.,104,12,1,23.99,1.00,21.99,2026-01-01,2026-12-31
SYN-TEST-0015,Synthetic Test Product 15,Synthetic Test Product 15 | RustGento,synthetic-test-product-15,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 15.",Synthetic item 15 for import testing.,100,10,1,24.99,1.25,,,
SYN-TEST-0016,Synthetic Test Product 16,Synthetic Test Product 16 | RustGento,synthetic-test-product-16,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 16.",Synthetic item 16 for import testing.,101,11,1,25.99,0.50,23.99,2026-01-01,2026-12-31
SYN-TEST-0017,Synthetic Test Product 17,Synthetic Test Product 17 | RustGento,synthetic-test-product-17,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 17.",Synthetic item 17 for import testing.,102,12,1,26.99,0.75,,,
SYN-TEST-0018,Synthetic Test Product 18,Synthetic Test Product 18 | RustGento,synthetic-test-product-18,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 18.",Synthetic item 18 for import testing.,103,10,1,27.99,1.00,25.99,2026-01-01,2026-12-31
SYN-TEST-0019,Synthetic Test Product 19,Synthetic Test Product 19 | RustGento,synthetic-test-product-19,"A synthetic product generated for the Rust importer's dual-database (MySQL + Postgres) smoke test, item 19.",Synthetic item 19 for import testing.,104,11,1,28.99,1.25,,,
